target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Jupiter,planet,rv1_coarse,7,4.7,311,566172,4883527.606913183,659958.7878540278,-4223568.819059155,-1.0230406099123746,0.3062886453298703
Jupiter,planet,rv1_coarse,8,6.55,300,565887,910300.2060416667,1452048.0492112085,541747.8431695418,3.2244676629965046,0.0012620710923672007
Jupiter,planet,rv1_coarse,9,9.18,318,515230,601539.0391116352,1842628.3179520024,1241089.2788403672,27.25830912047349,0.0
Saturn,planet,rv1_coarse,1,0.45,84475,478428,67955418.10678244,65216511.93590114,-2738906.1708812937,-3.5111567766914185,0.00044616118881313227
Saturn,planet,rv1_coarse,2,0.7,86225,490254,21675053.59045992,22676985.101589918,1001931.5111299977,2.835915545330302,0.004569452757334336
Saturn,planet,rv1_coarse,3,0.9,86162,490360,2420553.8526164605,2900157.4288713476,479603.57625488704,5.2133126238334455,1.854978908255589e-07
Saturn,planet,rv1_coarse,4,1.31,86235,490764,2301055.9297809526,2423046.3637418933,121990.43396094069,2.435193669193865,0.014883821076826509
Saturn,planet,rv1_coarse,5,2.2,86278,489736,1499637.3497260835,1574464.6426540082,74827.29292792478,2.648653862128353,0.008081305391360871
Saturn,planet,rv1_coarse,6,3.93,86133,488882,4125745.7980891922,2723785.943605546,-1401959.8544836463,-11.480033259883653,0.0
Saturn,planet,rv1_coarse,7,4.7,84046,482437,792720.5857698411,639552.8733721265,-153167.7123977146,-4.576960418232018,4.717806821430415e-06
Saturn,planet,rv1_coarse,8,6.55,84494,481693,2509814.5287005515,1266167.3217127325,-1243647.206987819,-18.129186858945772,0.0
Saturn,planet,rv1_coarse,9,9.18,77693,437855,3087637.380327107,1620812.521686617,-1466824.8586404899,-11.041732723001495,0.0
Uranus,planet,rv1_coarse,1,0.45,7923,554980,83117433.13138525,65377851.26372085,-17739581.867664404,-6.948004941240151,3.704814233174147e-12
Uranus,planet,rv1_coarse,2,0.7,8085,568394,18632715.310462996,22582519.60180293,3949804.291339934,3.5989244924857617,0.0003195359416692245
Uranus,planet,rv1_coarse,3,0.9,8063,568459,2172534.458002761,2837783.9255524445,665249.4675496835,7.133277855843204,9.801048861390882e-13
Uranus,planet,rv1_coarse,4,1.31,8106,568893,1906509.5613616277,2411914.5731371096,505405.011775482,19.59525411667579,0.0
Uranus,planet,rv1_coarse,5,2.2,8148,567866,1285710.0392890803,1567239.035431498,281528.99614241766,12.226679233655664,0.0
Uranus,planet,rv1_coarse,6,3.93,8137,566878,2571429.6969677475,2938990.5042431643,367560.8072754168,1.548928575061634,0.12139889088043643
Uranus,planet,rv1_coarse,7,4.7,8026,558457,756011.0375824164,660930.4195936377,-95080.61798877874,-0.6768510763719852,0.4985004475940442
Uranus,planet,rv1_coarse,8,6.55,8007,558180,1328828.9756455778,1453524.4381342963,124695.46248871856,0.9698597056398803,0.33211642735336655
Uranus,planet,rv1_coarse,9,9.18,7373,508175,2203904.7089306,1836610.002959418,-367294.70597118186,-0.9998336047869283,0.31739104010297314
Neptune,planet,rv1_coarse,1,0.45,75214,487689,68702435.77407598,65153313.51071769,-3549122.263358295,-4.337317530645257,1.4423218481995903e-05
Neptune,planet,rv1_coarse,2,0.7,77392,499087,21042201.49074579,22757387.173099007,1715185.6823532172,4.788271059871145,1.6822432988838898e-06
Neptune,planet,rv1_coarse,3,0.9,77493,499029,3320484.234942108,2752077.8813498314,-568406.3535922766,-5.087682389475463,3.624657352041538e-07
Neptune,planet,rv1_coarse,4,1.31,77564,499435,2506378.763502916,2389041.0590922683,-117337.70441064751,-1.7727643172461858,0.07626776846437622
Neptune,planet,rv1_coarse,5,2.2,77333,498681,1349936.8902017092,1596337.2536040104,246400.3634023012,7.570164077672172,3.730349362740526e-14
Neptune,planet,rv1_coarse,6,3.93,77169,497846,3141749.4792953413,2901554.129069714,-240195.35022562742,-1.8926859260232385,0.05839964914141227
Neptune,planet,rv1_coarse,7,4.7,76007,490476,541698.5026441978,680963.1578959278,139264.65525173,3.6675517758047365,0.0002448839742583697
Neptune,planet,rv1_coarse,8,6.55,75391,490796,1423577.01385236,1456090.3304722377,32513.316619877703,0.6102731942627178,0.5416808507460602
Neptune,planet,rv1_coarse,9,9.18,69119,446429,2430085.2597191418,1750790.4159593582,-679294.8437597835,-4.531893256597537,5.845738879406426e-06
